TaskID,TAG,SkillLevel,YOE,ResourceCost (Annual),Time_Spent
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,430
DES4,ProjectManager,70,4,24392,60
DES5,WebDesigner,60,3,20038,170
DES6,ProjectManager,70,4,24392,30
DEV10,WebConsultant,50,3,17888,430
DEV14,WebConsultant,50,3,17888,400
DEV15,WebConsultant,50,3,17888,300
DEV18,ProjectManager,70,4,24392,155
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,210
TES2,WebConsultant,50,3,17888,190
TES3,WebConsultant,50,3,17888,220
TES7,ProjectManager,70,4,24392,115
REL5,ProjectManager,70,4,24392,65
DEV10,WebConsultant,70,4,20038,370
DEV14,WebConsultant,70,4,20038,360
DEV15,WebConsultant,70,4,20038,280
TES1,WebConsultant,70,4,20038,170
TES2,WebConsultant,70,4,20038,195
TES3,WebConsultant,70,4,20038,195
TES5,WebConsultant,70,4,20038,120
DEV1,WebDeveloper,50,3,24392,55
DEV2,WebDeveloper,50,3,24392,30
DEV3,WebDeveloper,50,3,24392,145
DEV4,WebDeveloper,50,3,24392,220
DEV5,WebDeveloper,50,3,24392,100
DEV6,WebDeveloper,50,3,24392,65
DEV7,WebDeveloper,50,3,24392,90
DEV8,WebDeveloper,50,3,24392,55
DEV9,WebDeveloper,50,3,24392,45
DEV11,WebDeveloper,50,3,24392,135
DEV12,WebDeveloper,50,3,24392,150
DEV16,WebDeveloper,50,3,24392,135
DEV17,WebDeveloper,50,3,24392,120
DEV19,WebDeveloper,50,3,24392,100
TES6,WebDeveloper,50,3,24392,110
REL1,WebDeveloper,50,3,24392,55
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,55
REQ3,ProjectManager,70,4,24392,35
REQ4,ProjectManager,70,4,24392,70
DES1,ProjectManager,70,4,24392,40
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,470
DES4,ProjectManager,70,4,24392,50
DES5,WebDesigner,60,3,20038,180
DES6,ProjectManager,70,4,24392,35
DEV18,ProjectManager,70,4,24392,145
DEV20,ProjectManager,70,4,24392,35
TES7,ProjectManager,70,4,24392,115
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,40
REQ4,ProjectManager,70,4,24392,60
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,35
DES3,WebDesigner,60,3,20038,445
DES4,ProjectManager,70,4,24392,40
DES5,WebDesigner,60,3,20038,130
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,30,1,20038,95
DEV2,WebDeveloper,30,1,20038,60
DEV3,WebDeveloper,30,1,20038,185
DEV4,WebDeveloper,30,1,20038,280
DEV5,WebDeveloper,30,1,20038,125
DEV6,WebDeveloper,30,1,20038,105
DEV7,WebDeveloper,30,1,20038,95
DEV8,WebDeveloper,30,1,20038,80
DEV9,WebDeveloper,30,1,20038,80
DEV10,WebConsultant,20,1,14664,470
DEV11,WebDeveloper,30,1,20038,175
DEV12,WebDeveloper,30,1,20038,135
DEV14,WebConsultant,20,1,14664,435
DEV15,WebConsultant,20,1,14664,310
DEV16,WebDeveloper,30,1,20038,195
DEV17,WebDeveloper,30,1,20038,185
DEV18,ProjectManager,70,4,24392,120
DEV19,WebDeveloper,30,1,20038,125
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,20,1,14664,280
TES2,WebConsultant,20,1,14664,245
TES3,WebConsultant,20,1,14664,215
TES6,WebDeveloper,30,1,20038,185
TES7,ProjectManager,70,4,24392,105
REL1,WebDeveloper,30,1,20038,115
REL5,ProjectManager,70,4,24392,50
REQ1,ProjectManager,70,4,24392,30
REQ2,ProjectManager,70,4,24392,55
REQ3,ProjectManager,70,4,24392,15
REQ4,ProjectManager,70,4,24392,50
DES1,ProjectManager,70,4,24392,60
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,400
DES4,ProjectManager,70,4,24392,65
DES5,WebDesigner,60,3,20038,180
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,80,6,29049,35
DEV2,WebDeveloper,80,6,29049,15
DEV3,WebDeveloper,80,6,29049,15
DEV4,WebDeveloper,80,6,29049,185
DEV5,WebDeveloper,80,6,29049,70
DEV6,WebDeveloper,80,6,29049,65
DEV10,WebConsultant,70,4,20038,250
DEV11,WebDeveloper,80,6,29049,90
DEV12,WebDeveloper,80,6,29049,90
DEV18,ProjectManager,70,4,24392,120
DEV19,WebDeveloper,80,6,29049,115
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,160
TES3,WebConsultant,70,4,20038,180
TES5,WebConsultant,70,4,20038,110
TES6,WebDeveloper,80,6,29049,75
TES7,ProjectManager,70,4,24392,115
REL1,WebDeveloper,80,6,29049,45
REL2,ProjectManager,70,4,24392,75
REL3,ProjectManager,70,4,24392,85
REL4,WebDeveloper,80,6,29049,135
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,30
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,15
REQ4,ProjectManager,70,4,24392,70
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,380
DES4,ProjectManager,70,4,24392,55
DES5,WebDesigner,60,3,20038,130
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,50,3,24392,50
DEV2,WebDeveloper,50,3,24392,25
DEV3,WebDeveloper,50,3,24392,25
DEV4,WebDeveloper,50,3,24392,205
DEV5,WebDeveloper,50,3,24392,90
DEV6,WebDeveloper,50,3,24392,60
DEV10,WebConsultant,50,3,17888,325
DEV11,WebDeveloper,50,3,24392,115
DEV12,WebDeveloper,50,3,24392,105
DEV18,ProjectManager,70,4,24392,95
DEV19,WebDeveloper,50,3,24392,90
DEV20,ProjectManager,70,4,24392,25
TES1,WebConsultant,50,3,17888,170
TES3,WebConsultant,50,3,17888,195
TES5,WebConsultant,50,3,17888,195
TES6,WebDeveloper,50,3,24392,140
TES7,ProjectManager,70,4,24392,105
REL1,WebDeveloper,50,3,24392,90
REL2,ProjectManager,70,4,24392,85
REL3,ProjectManager,70,4,24392,95
REL4,WebDeveloper,50,3,24392,160
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,40
REQ2,ProjectManager,70,4,24392,55
REQ3,ProjectManager,70,4,24392,20
REQ4,ProjectManager,70,4,24392,40
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,350
DES4,ProjectManager,70,4,24392,40
DES5,WebDesigner,60,3,20038,190
DES6,ProjectManager,70,4,24392,15
DEV1,WebDeveloper,30,1,20038,75
DEV2,WebDeveloper,30,1,20038,75
DEV3,WebDeveloper,30,1,20038,75
DEV4,WebDeveloper,30,1,20038,230
DEV5,WebDeveloper,30,1,20038,130
DEV6,WebDeveloper,30,1,20038,90
DEV10,WebConsultant,20,1,14664,400
DEV11,WebDeveloper,30,1,20038,140
DEV12,WebDeveloper,30,1,20038,165
DEV18,ProjectManager,70,4,24392,80
DEV19,WebDeveloper,30,1,20038,135
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,20,1,14664,265
TES3,WebConsultant,20,1,14664,185
TES5,WebConsultant,20,1,14664,230
TES6,WebDeveloper,30,1,20038,145
TES7,ProjectManager,70,4,24392,100
REL1,WebDeveloper,30,1,20038,100
REL2,ProjectManager,70,4,24392,70
REL3,ProjectManager,70,4,24392,75
REL4,WebDeveloper,30,1,20038,225
REL5,ProjectManager,70,4,24392,55
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,35
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,35
DES3,WebDesigner,60,3,20038,345
DES4,ProjectManager,70,4,24392,30
DES5,WebDesigner,60,3,20038,160
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,80,6,29049,50
DEV2,WebDeveloper,80,6,29049,30
DEV3,WebDeveloper,80,6,29049,30
DEV4,WebDeveloper,80,6,29049,160
DEV5,WebDeveloper,80,6,29049,85
DEV6,WebDeveloper,80,6,29049,55
DEV10,WebConsultant,50,3,17888,340
DEV11,WebDeveloper,80,6,29049,95
DEV12,WebDeveloper,80,6,29049,90
DEV18,ProjectManager,70,4,24392,95
DEV19,WebDeveloper,80,6,29049,90
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,145
TES3,WebConsultant,50,3,17888,172
TES5,WebConsultant,50,3,17888,180
TES6,WebDeveloper,80,6,29049,50
TES7,ProjectManager,70,4,24392,70
REL1,WebDeveloper,80,6,29049,40
REL2,ProjectManager,70,4,24392,80
REL3,ProjectManager,70,4,24392,90
REL4,WebDeveloper,80,6,29049,150
REL5,ProjectManager,70,4,24392,45
REQ1,ProjectManager,70,4,24392,55
REQ2,ProjectManager,70,4,24392,55
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,55
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,395
DES4,ProjectManager,70,4,24392,50
DES5,WebDesigner,60,3,20038,170
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,50,3,24392,45
DEV2,WebDeveloper,50,3,24392,25
DEV3,WebDeveloper,50,3,24392,25
DEV4,WebDeveloper,50,3,24392,175
DEV5,WebDeveloper,50,3,24392,100
DEV6,WebDeveloper,50,3,24392,50
DEV10,WebConsultant,20,1,14664,425
DEV11,WebDeveloper,50,3,24392,105
DEV12,WebDeveloper,50,3,24392,105
DEV18,ProjectManager,70,4,24392,90
DEV19,WebDeveloper,50,3,24392,100
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,20,1,14664,295
TES3,WebConsultant,20,1,14664,220
TES5,WebConsultant,20,1,14664,210
TES6,WebDeveloper,50,3,24392,120
TES7,ProjectManager,70,4,24392,90
REL1,WebDeveloper,50,3,24392,45
REL2,ProjectManager,70,4,24392,85
REL3,ProjectManager,70,4,24392,95
REL4,WebDeveloper,50,3,24392,170
REL5,ProjectManager,70,4,24392,35
REQ1,ProjectManager,70,4,24392,60
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,25
REQ4,ProjectManager,70,4,24392,75
DES1,ProjectManager,70,4,24392,40
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,370
DES4,ProjectManager,70,4,24392,40
DES5,WebDesigner,60,3,20038,125
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,30,1,20038,90
DEV2,WebDeveloper,30,1,20038,70
DEV3,WebDeveloper,30,1,20038,40
DEV4,WebDeveloper,30,1,20038,200
DEV5,WebDeveloper,30,1,20038,125
DEV6,WebDeveloper,30,1,20038,95
DEV10,WebConsultant,70,4,20038,230
DEV11,WebDeveloper,30,1,20038,150
DEV12,WebDeveloper,30,1,20038,150
DEV18,ProjectManager,70,4,24392,100
DEV19,WebDeveloper,30,1,20038,160
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,200
TES3,WebConsultant,70,4,20038,160
TES5,WebConsultant,70,4,20038,120
TES6,WebDeveloper,30,1,20038,185
TES7,ProjectManager,70,4,24392,50
REL1,WebDeveloper,30,1,20038,80
REL2,ProjectManager,70,4,24392,70
REL3,ProjectManager,70,4,24392,85
REL4,WebDeveloper,30,1,20038,245
REL5,ProjectManager,70,4,24392,45
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,70
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,20
DES3,WebDesigner,60,3,20038,380
DES4,ProjectManager,70,4,24392,70
DES5,WebDesigner,60,3,20038,115
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,80,6,29049,35
DEV2,WebDeveloper,80,6,29049,10
DEV3,WebDeveloper,80,6,29049,30
DEV4,WebDeveloper,80,6,29049,165
DEV5,WebDeveloper,80,6,29049,60
DEV6,WebDeveloper,80,6,29049,45
DEV10,WebConsultant,20,1,14664,410
DEV11,WebDeveloper,80,6,29049,105
DEV12,WebDeveloper,80,6,29049,95
DEV18,ProjectManager,70,4,24392,90
DEV19,WebDeveloper,80,6,29049,120
DEV20,ProjectManager,70,4,24392,35
TES1,WebConsultant,20,1,14664,295
TES3,WebConsultant,20,1,14664,225
TES5,WebConsultant,20,1,14664,200
TES6,WebDeveloper,80,6,29049,80
TES7,ProjectManager,70,4,24392,60
REL1,WebDeveloper,80,6,29049,40
REL2,ProjectManager,70,4,24392,80
REL3,ProjectManager,70,4,24392,85
REL4,WebDeveloper,80,6,29049,120
REL5,ProjectManager,70,4,24392,50
REQ1,ProjectManager,70,4,24392,25
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,20
REQ4,ProjectManager,70,4,24392,60
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,425
DES4,ProjectManager,70,4,24392,60
DES5,WebDesigner,60,3,20038,160
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,50,3,24392,60
DEV2,WebDeveloper,50,3,24392,25
DEV3,WebDeveloper,50,3,24392,40
DEV4,WebDeveloper,50,3,24392,200
DEV5,WebDeveloper,50,3,24392,90
DEV6,WebDeveloper,50,3,24392,55
DEV10,WebConsultant,70,4,20038,230
DEV11,WebDeveloper,50,3,24392,105
DEV12,WebDeveloper,50,3,24392,125
DEV18,ProjectManager,70,4,24392,95
DEV19,WebDeveloper,50,3,24392,170
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,145
TES3,WebConsultant,70,4,20038,140
TES5,WebConsultant,70,4,20038,95
TES6,WebDeveloper,50,3,24392,130
TES7,ProjectManager,70,4,24392,90
REL1,WebDeveloper,50,3,24392,50
REL2,ProjectManager,70,4,24392,85
REL3,ProjectManager,70,4,24392,95
REL4,WebDeveloper,50,3,24392,200
REL5,ProjectManager,70,4,24392,45
REQ1,ProjectManager,70,4,24392,30
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,65
DES1,ProjectManager,70,4,24392,75
DES2,ProjectManager,70,4,24392,25
DES3,WebDesigner,60,3,20038,405
DES4,ProjectManager,70,4,24392,50
DES5,WebDesigner,60,3,20038,160
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,30,1,20038,90
DEV2,WebDeveloper,30,1,20038,50
DEV3,WebDeveloper,30,1,20038,40
DEV4,WebDeveloper,30,1,20038,235
DEV5,WebDeveloper,30,1,20038,105
DEV6,WebDeveloper,30,1,20038,95
DEV10,WebConsultant,50,3,17888,260
DEV11,WebDeveloper,30,1,20038,145
DEV12,WebDeveloper,30,1,20038,145
DEV18,ProjectManager,70,4,24392,90
DEV19,WebDeveloper,30,1,20038,120
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,195
TES3,WebConsultant,50,3,17888,195
TES5,WebConsultant,50,3,17888,215
TES6,WebDeveloper,30,1,20038,140
TES7,ProjectManager,70,4,24392,90
REL1,WebDeveloper,30,1,20038,95
REL2,ProjectManager,70,4,24392,85
REL3,ProjectManager,70,4,24392,75
REL4,WebDeveloper,30,1,20038,265
REL5,ProjectManager,70,4,24392,45
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,45
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,60
DES1,ProjectManager,70,4,24392,65
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,445
DES4,ProjectManager,70,4,24392,35
DES5,WebDesigner,60,3,20038,190
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,80,6,29049,35
DEV2,WebDeveloper,80,6,29049,30
DEV3,WebDeveloper,80,6,29049,10
DEV4,WebDeveloper,80,6,29049,140
DEV5,WebDeveloper,80,6,29049,75
DEV6,WebDeveloper,80,6,29049,45
DEV10,WebConsultant,70,4,20038,230
DEV11,WebDeveloper,80,6,29049,115
DEV12,WebDeveloper,80,6,29049,110
DEV18,ProjectManager,70,4,24392,95
DEV19,WebDeveloper,80,6,29049,80
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,200
TES3,WebConsultant,70,4,20038,160
TES5,WebConsultant,70,4,20038,115
TES6,WebDeveloper,80,6,29049,110
TES7,ProjectManager,70,4,24392,50
REL1,WebDeveloper,80,6,29049,45
REL2,ProjectManager,70,4,24392,70
REL3,ProjectManager,70,4,24392,90
REL4,WebDeveloper,80,6,29049,145
REL5,ProjectManager,70,4,24392,50
REQ1,ProjectManager,70,4,24392,40
REQ2,ProjectManager,70,4,24392,55
REQ3,ProjectManager,70,4,24392,35
REQ4,ProjectManager,70,4,24392,65
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,25
DES3,WebDesigner,60,3,20038,455
DES4,ProjectManager,70,4,24392,40
DES5,WebDesigner,60,3,20038,140
DES6,ProjectManager,70,4,24392,20
DEV1,WebDeveloper,50,3,24392,50
DEV2,WebDeveloper,50,3,24392,45
DEV3,WebDeveloper,50,3,24392,30
DEV4,WebDeveloper,50,3,24392,175
DEV5,WebDeveloper,50,3,24392,90
DEV6,WebDeveloper,50,3,24392,45
DEV10,WebConsultant,50,3,17888,355
DEV11,WebDeveloper,50,3,24392,125
DEV12,WebDeveloper,50,3,24392,120
DEV18,ProjectManager,70,4,24392,90
DEV19,WebDeveloper,50,3,24392,150
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,190
TES3,WebConsultant,50,3,17888,160
TES5,WebConsultant,50,3,17888,200
TES6,WebDeveloper,50,3,24392,90
TES7,ProjectManager,70,4,24392,120
REL1,WebDeveloper,50,3,24392,60
REL2,ProjectManager,70,4,24392,80
REL3,ProjectManager,70,4,24392,95
REL4,WebDeveloper,50,3,24392,185
REL5,ProjectManager,70,4,24392,45
REQ1,ProjectManager,70,4,24392,60
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,40
REQ4,ProjectManager,70,4,24392,55
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,435
DES4,ProjectManager,70,4,24392,35
DES5,WebDesigner,60,3,20038,160
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,30,1,20038,100
DEV2,WebDeveloper,30,1,20038,50
DEV3,WebDeveloper,30,1,20038,50
DEV4,WebDeveloper,30,1,20038,235
DEV5,WebDeveloper,30,1,20038,120
DEV6,WebDeveloper,30,1,20038,110
DEV10,WebConsultant,20,1,14664,385
DEV11,WebDeveloper,30,1,20038,175
DEV12,WebDeveloper,30,1,20038,175
DEV18,ProjectManager,70,4,24392,125
DEV19,WebDeveloper,30,1,20038,145
DEV20,ProjectManager,70,4,24392,25
TES1,WebConsultant,20,1,14664,315
TES3,WebConsultant,20,1,14664,255
TES5,WebConsultant,20,1,14664,240
TES6,WebDeveloper,30,1,20038,190
TES7,ProjectManager,70,4,24392,110
REL1,WebDeveloper,30,1,20038,115
REL2,ProjectManager,70,4,24392,70
REL3,ProjectManager,70,4,24392,75
REL4,WebDeveloper,30,1,20038,235
REL5,ProjectManager,70,4,24392,65
REQ1,ProjectManager,70,4,24392,40
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,20
REQ4,ProjectManager,70,4,24392,45
DES1,ProjectManager,70,4,24392,55
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,455
DES4,ProjectManager,70,4,24392,60
DES5,WebDesigner,60,3,20038,200
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,80,6,29049,55
DEV2,WebDeveloper,80,6,29049,10
DEV3,WebDeveloper,80,6,29049,35
DEV4,WebDeveloper,80,6,29049,125
DEV5,WebDeveloper,80,6,29049,50
DEV6,WebDeveloper,80,6,29049,45
DEV10,WebConsultant,50,3,17888,310
DEV11,WebDeveloper,80,6,29049,105
DEV12,WebDeveloper,80,6,29049,120
DEV18,ProjectManager,70,4,24392,145
DEV19,WebDeveloper,80,6,29049,105
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,195
TES3,WebConsultant,50,3,17888,185
TES5,WebConsultant,50,3,17888,170
TES6,WebDeveloper,80,6,29049,85
TES7,ProjectManager,70,4,24392,105
REL1,WebDeveloper,80,6,29049,35
REL2,ProjectManager,70,4,24392,80
REL3,ProjectManager,70,4,24392,90
REL4,WebDeveloper,80,6,29049,155
REL5,ProjectManager,70,4,24392,65
REQ1,ProjectManager,70,4,24392,30
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,20
REQ4,ProjectManager,70,4,24392,40
DES1,ProjectManager,70,4,24392,50
DES2,ProjectManager,70,4,24392,25
DES3,WebDesigner,60,3,20038,445
DES4,ProjectManager,70,4,24392,55
DES5,WebDesigner,60,3,20038,145
DES6,ProjectManager,70,4,24392,20
DEV1,WebDeveloper,50,3,24392,55
